GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProyectoGestionPedidosParte3,gestionPedidos,productoFisico,8,24,0,0,1,7,1,4,1,4
ProyectoGestionPedidosParte3,gestionPedidos,cliente,0,64,1,5,0,21,1,12,0,10
ProyectoGestionPedidosParte3,gestionPedidos,producto,12,33,0,2,3,13,3,7,3,6
ProyectoGestionPedidosParte3,gestionPedidos,principal,57,0,0,0,12,0,2,0,2,0
ProyectoGestionPedidosParte3,gestionPedidos,pedido,2,84,1,7,1,21,1,9,0,6
ProyectoGestionPedidosParte3,gestionPedidos,productoDigital,0,44,0,0,0,13,0,8,0,8
